dummy_businesspersonalities,dummy_celebrities,dummy_entertainmentleisurebusiness,dummy_hiphop,dummy_music,dummy_nbaplayers,dummy_news,dummy_politics,dummy_sports,dummy_sportsfigures,dummy_sportsfitnessbusiness,dummy_television,hashtags_count,mentions_count,tweet_external_urls_count,tweet_length,tweet_medias_count,tweet_sentiment,followers_count
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,194,0,0.8533,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,135,0,0.126,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,2,0.2481,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,1,0.7644,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,185,2,-0.3382,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,87,0,0.0,4676387
0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,79,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,146,0,0.6149,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,-0.296,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,198,0,-0.9555,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93,0,-0.4588,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,106,3,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96,0,0.8957,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,173,2,0.6082,4676387
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,223,3,0.8388,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,95,1,0.8887,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,247,0,0.9382,4676387
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,200,2,-0.2788,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,0,-0.765,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0.3595,4676387
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1,-0.8218,4676387
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,82,0,-0.481,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,183,1,0.8402,4676387
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,115,0,0.6036,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,105,0,0.8478,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,281,4,0.9222,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1,-0.0258,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,105,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0.0,4676387
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0.3182,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,94,0,0.6809,4676387
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,193,0,-0.4781,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,117,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,174,0,0.25,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.6739,4676387
0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,130,0,-0.3254,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,102,0,-0.4574,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,-0.3818,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,0,0.7906,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0.1027,4676387
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,42,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,103,0,-0.4767,4676387
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,149,0,0.7906,4676387
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,108,0,0.7481,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,-0.799,4676387
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,244,2,0.9485,4676387
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,217,3,-0.9432,4676387
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,237,1,0.8271,4676387
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,115,2,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0.0,4676387
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,165,1,-0.4019,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,73,0,0.0,4676387
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,152,3,0.7762,4676387
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,108,1,0.6249,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0,4676387
0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,166,0,0.7565,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.6739,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,0,0.6369,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,112,0,0.8482,4676387
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,0,0.4767,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72,0,0.9991,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,122,4,-0.8192,4676387
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,85,0,0.3612,4676387
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,28,0,0.5622,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0.2023,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0,0.6739,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,-0.3182,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,101,0,-0.765,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0,0.8402,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77,0,-0.34,4676387
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,114,1,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1,0.5574,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,0,-0.4404,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,205,0,0.9148,4676387
0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,261,0,-0.4168,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,169,1,0.8957,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0.743,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,0.4404,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,117,1,0.8126,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,89,0,0.0,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0,4676387
0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,56,1,0.0,4676387
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,98,0,0.8658,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,68,0,0.0,4676387
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,45,0,-0.4574,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0,4676387
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,30,0,0.0,4676387
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0.3612,4676387
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,40,1,0.0,4676387
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,123,0,0.7184,4676387
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,112,0,0.0258,4676387
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,176,0,0.7964,4676387
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,28,0,0.0,4676387
