dummy_entertainment,dummy_entertainmentleisurebusiness,dummy_jeanlucmlenchon,dummy_nikosaliagas,dummy_politicalfigures,dummy_soccer,hashtags_count,mentions_count,tweet_external_urls_count,tweet_length,tweet_medias_count,followers_count,impression_count
0,0,0,0,0,0,2,0,0,212,1,92244,9977
1,0,0,0,0,0,3,3,0,303,1,92244,2113
0,0,0,0,1,0,0,0,1,45,0,92244,1942
0,0,0,0,1,0,0,0,1,304,0,92244,14191
0,0,0,0,0,0,1,0,1,328,1,92244,2856
0,0,0,0,1,0,0,0,1,146,0,92244,2210
0,1,0,0,0,0,0,0,0,113,1,92244,7493
0,0,0,0,0,0,0,1,0,186,0,92244,1147
1,0,0,0,0,0,0,0,1,202,0,92244,4350
1,0,0,0,0,0,0,0,1,218,0,92244,6910
0,0,0,1,0,0,0,0,1,294,0,92244,3253
0,0,0,0,0,0,0,0,0,302,1,92244,31830
1,0,0,0,0,0,0,0,0,237,1,92244,12900
1,0,0,0,0,0,0,3,0,84,0,92244,1304
0,0,0,1,0,0,0,0,1,301,0,92244,3281
0,0,0,0,0,0,0,0,1,33,0,92244,3398
1,0,0,0,0,0,0,0,1,162,0,92244,6279
0,1,0,0,0,0,0,0,1,48,0,92244,2838
1,0,0,0,0,0,0,0,1,228,0,92244,4403
0,0,0,0,1,0,0,0,1,53,0,92244,4234
0,1,0,0,0,0,0,1,0,97,1,92244,249
0,0,0,1,0,0,2,0,1,279,0,92244,1473
1,0,0,0,0,0,0,3,0,223,0,92244,183
0,0,0,0,0,0,1,0,1,298,0,92244,2473
0,0,0,1,0,0,0,0,1,270,0,92244,3360
1,0,0,0,0,0,0,0,1,288,0,92244,3147
0,0,0,1,0,0,2,0,0,300,2,92244,11844
0,0,0,0,1,0,0,0,1,33,0,92244,3047
1,0,0,0,0,0,1,1,1,184,1,92244,22874
1,0,0,0,0,0,1,1,1,280,0,92244,2484
1,0,0,0,0,0,0,0,1,64,0,92244,3967
0,0,0,0,0,0,0,0,1,31,0,92244,1941
0,0,0,1,0,0,0,0,2,75,0,1684626,1779
0,0,0,1,0,0,0,0,1,248,0,1684626,3754
0,0,0,1,0,0,0,0,2,274,0,1684626,10997
0,1,0,1,0,0,1,0,1,49,0,1684626,13347
0,0,0,1,0,0,1,2,1,63,0,1684626,11545
0,0,0,1,0,0,0,1,1,104,0,1684626,7529
0,0,0,1,0,0,0,10,0,135,0,1684626,1361
0,0,0,1,0,0,0,1,1,45,0,1684626,8540
0,1,0,1,0,0,1,0,1,79,0,1684626,17878
1,1,0,1,0,0,1,1,1,134,0,1684626,18892
0,0,0,1,0,0,2,0,1,87,0,1684626,9026
0,0,0,1,0,0,0,0,1,152,0,1684626,8072
0,0,0,1,0,0,0,0,1,96,0,1684626,13105
0,0,0,1,0,0,0,0,1,116,0,1684626,8450
0,0,0,1,0,0,2,0,1,78,0,1684626,7880
1,0,0,1,0,0,0,2,1,125,0,1684626,15439
1,1,0,1,0,0,3,2,2,302,0,1684626,13160
0,0,0,1,0,0,2,0,1,63,0,1684626,14016
0,0,0,1,0,0,0,1,0,101,0,1684626,2208
0,0,0,1,0,0,0,2,0,244,1,1684626,6582
0,0,0,1,0,0,0,1,1,93,0,1684626,11325
0,0,0,1,0,0,0,0,1,99,0,1684626,8229
0,0,0,1,0,0,1,0,1,31,0,1684626,9971
0,0,0,1,0,0,2,0,1,104,0,1684626,13750
0,0,0,1,0,0,0,1,0,142,0,1684626,2773
1,1,0,1,0,0,1,2,2,304,0,1684626,13375
0,0,0,1,0,0,0,2,0,92,0,1684626,2129
0,0,0,1,0,0,1,1,1,63,0,1684626,10206
0,0,0,1,0,0,0,1,0,12,0,1684626,1626
0,0,0,1,0,0,1,3,1,153,0,1684626,18294
0,0,0,1,0,0,1,2,1,121,0,1684626,8953
0,0,0,1,0,0,2,0,1,52,0,1684626,14794
0,0,0,1,0,0,3,1,1,217,0,1684626,19837
0,0,0,1,0,0,1,0,1,129,0,1684626,9332
0,0,0,1,0,0,2,0,1,71,0,1684626,9525
0,0,0,1,0,0,4,0,0,95,1,1684626,11182
1,0,0,1,0,0,1,3,1,140,0,1684626,9830
0,0,0,1,0,0,0,0,1,50,0,1684626,15410
0,0,0,1,0,0,0,1,1,115,0,1684626,6386
0,0,0,1,0,0,0,2,0,32,0,1684626,2256
0,0,0,1,0,0,2,0,1,58,0,1684626,12680
0,0,0,1,0,0,3,0,1,81,0,1684626,10181
0,0,0,1,0,0,0,1,0,20,0,1684626,2161
0,0,0,1,0,0,1,0,1,100,0,1684626,8849
0,0,0,1,0,0,3,0,1,79,0,1684626,9655
0,0,0,1,0,0,2,0,1,261,0,1684626,6532
1,0,0,1,0,0,2,3,1,143,0,1684626,6604
0,0,0,1,0,0,0,0,1,157,0,1684626,10498
0,0,0,1,0,0,0,7,0,124,0,1684626,5014
0,0,0,1,0,0,2,0,1,96,0,1684626,6708
0,0,0,1,0,0,0,1,0,33,0,1684626,6592
0,0,0,1,0,0,0,0,1,50,0,1684626,9710
0,0,0,1,0,0,4,0,1,89,0,1684626,12258
1,1,0,1,0,0,0,0,1,122,0,1684626,9323
0,0,0,1,0,0,2,0,1,65,0,1684626,6686
0,1,0,1,0,0,2,0,0,48,1,1684626,12361
0,1,0,1,0,0,1,0,0,37,1,1684626,20625
0,0,0,1,0,0,0,1,1,34,0,1684626,139
0,1,0,1,0,0,1,0,0,60,3,1684626,13769
0,0,0,1,0,0,0,1,0,11,0,1684626,1662
0,1,0,1,0,0,2,0,0,39,1,1684626,22678
0,0,0,1,0,0,0,1,0,32,0,1684626,5172
0,0,0,1,0,0,0,1,0,14,0,1684626,1087
0,0,0,1,0,0,0,2,1,153,0,1684626,6619
0,0,0,1,0,0,2,0,1,63,0,1684626,5872
0,0,0,1,0,0,0,1,0,45,0,1684626,2011
0,0,0,1,0,0,0,0,1,50,0,1684626,5643
0,0,0,1,0,0,0,2,1,112,0,1684626,5981
0,0,0,1,0,0,1,0,0,70,1,1684626,8677
0,0,0,1,0,0,0,1,1,84,0,1684626,4799
0,0,0,1,0,0,2,0,1,62,0,1684626,8209
0,0,0,1,0,0,2,0,1,151,0,1684626,6783
0,0,0,1,0,0,2,0,1,76,0,1684626,5988
0,0,0,1,0,0,0,0,1,50,0,1684626,4748
0,0,0,1,0,0,1,1,1,44,0,1684626,5321
1,1,0,1,0,0,1,2,1,182,0,1684626,7123
0,0,0,1,0,0,2,0,1,67,0,1684626,7565
0,1,0,1,0,0,1,0,0,49,2,1684626,18073
0,1,0,1,0,0,1,1,0,29,0,1684626,6691
0,1,0,1,0,0,1,0,0,40,1,1684626,48244
0,1,0,1,0,0,1,0,1,53,0,1684626,15098
0,0,0,1,0,0,2,2,1,101,0,1684626,5753
0,0,0,1,0,0,0,1,0,38,1,1684626,5264
0,0,0,1,0,0,0,3,1,120,0,1684626,6350
0,0,0,1,0,0,3,0,1,93,0,1684626,6764
0,0,0,1,0,0,3,0,1,67,0,1684626,6843
0,0,0,1,0,0,0,2,0,23,0,1684626,2532
0,0,0,1,0,0,0,2,0,30,0,1684626,101
0,0,0,1,0,0,0,0,1,50,0,1684626,6354
0,0,0,1,0,0,0,2,1,80,0,1684626,9297
0,0,0,1,0,0,0,0,1,62,0,1684626,6575
0,0,0,1,0,0,1,1,1,74,0,1684626,7108
0,0,0,1,0,0,0,0,1,23,0,1684626,6591
0,1,0,1,0,0,2,2,1,95,0,1684626,8287
0,0,0,1,0,0,1,0,1,31,0,1684626,7034
0,0,0,1,0,0,0,1,1,74,0,1684626,8193
0,0,0,1,0,0,0,0,1,23,0,1684626,8305
0,0,0,1,0,0,0,0,1,50,0,1684626,7536
0,1,0,1,0,0,3,0,1,53,0,1684626,5260
0,0,0,1,0,0,2,0,0,42,0,1684626,10870
0,1,0,1,0,0,1,0,0,48,1,1684626,12203
0,0,0,1,0,0,2,0,0,58,4,1684626,24985
0,0,0,1,0,0,0,1,0,11,0,1684626,3190
0,1,0,1,0,0,1,0,0,43,1,1684626,19885
0,1,0,1,0,0,1,0,0,43,1,1684626,19961
0,1,0,1,0,0,2,0,0,81,1,1684626,24599
0,0,0,1,0,0,4,1,1,146,0,1684626,6642
1,0,0,1,0,0,1,2,1,209,0,1684626,9602
0,0,0,1,0,0,2,0,1,94,0,1684626,6437
1,0,0,1,0,0,0,2,0,272,0,1684626,28960
0,0,0,1,0,0,0,1,0,28,0,1684626,250
0,0,0,1,0,0,0,0,1,124,0,1684626,46460
0,0,0,1,0,0,3,0,1,110,0,1684626,8068
0,0,0,1,0,0,0,0,1,50,0,1684626,8692
0,0,0,1,0,0,0,1,0,16,0,1684626,3802
0,0,0,1,0,0,3,0,1,67,0,1684626,15219
0,0,0,1,0,0,0,1,0,65,0,1684626,6087
0,0,0,1,0,0,0,1,0,13,0,1684626,3281
0,0,0,1,0,0,0,1,0,58,0,1684626,424
1,0,0,1,0,0,0,5,0,66,0,1684626,3806
1,0,0,1,0,0,0,3,0,30,0,1684626,5738
0,0,0,1,0,0,1,0,1,157,0,1684626,32506
0,0,0,1,0,0,0,1,1,138,0,1684626,6530
0,0,0,1,0,0,3,2,1,131,0,1684626,8556
0,0,0,1,0,0,1,0,1,54,0,1684626,13517
0,0,0,1,0,0,0,1,0,14,0,1684626,1973
1,0,0,1,0,0,1,1,0,120,1,1684626,82384
0,0,0,1,0,0,0,2,0,66,0,1684626,3500
0,1,0,1,0,0,1,0,0,50,1,1684626,14545
0,1,0,1,0,0,2,0,0,44,1,1684626,7902
0,1,0,1,0,0,1,0,0,74,1,1684626,31476
0,1,0,1,0,0,2,0,0,46,1,1684626,9829
0,0,0,1,0,0,0,1,0,15,0,1684626,1174
1,0,0,1,0,0,0,2,0,22,0,1684626,3223
0,0,0,1,0,0,0,1,0,13,0,1684626,810
0,0,0,1,0,0,2,0,0,65,1,1684626,47733
0,0,0,1,0,0,0,1,0,17,0,1684626,1277
0,0,0,1,0,0,0,1,0,16,0,1684626,2521
0,0,0,1,0,0,0,1,0,12,0,1684626,638
0,0,0,1,0,0,0,1,0,12,0,1684626,1384
0,0,0,1,0,0,0,1,0,15,0,1684626,1323
0,1,0,1,0,0,1,0,0,58,1,1684626,72039
0,0,0,1,0,0,0,3,0,48,0,1684626,1809
0,0,0,1,0,0,0,1,0,15,0,1684626,1039
0,0,0,1,0,0,0,3,0,91,0,1684626,3569
0,0,0,1,0,0,0,1,0,17,0,1684626,910
0,0,0,1,0,0,0,2,0,33,0,1684626,1819
0,1,0,1,0,0,2,0,0,65,1,1684626,18873
0,1,0,1,0,0,1,1,0,66,1,1684626,10609
0,0,0,1,0,0,0,1,0,31,0,1684626,4787
0,1,0,1,0,0,0,2,0,23,0,1684626,1556
0,0,0,1,0,0,0,1,0,19,0,1684626,1957
